#,Kana,Romaji,Japanese,Meaning
1,浴びる,abiru,あびる,"to bathe, to shower"
2,上げる,ageru,あげる,to raise; to elevate; to give
3,開ける,akeru,あける,"to open (a door, etc.); to unwrap; to unlock"
4,開く,aku,あく,"to open (e.g. doors, business, etc.)"
5,洗う,arau,あらう,to wash
6,ある,aru,ある,"to be, to have (inanimate objects)"
7,歩く,aruku,あるく,to walk
8,遊ぶ,asobu,あそぶ,to play; to enjoy oneself
9,会う,au,あう,to meet; to encounter; to see
10,勉強する,benkyou suru,べんきょうする,to study
11,違う,chigau,ちがう,to differ; to be different
12,出す,dasu,だす,to take out; to get out; to put out; to reveal
13,出かける,dekakeru,でかける,to go out; to leave; to depart
14,電話する,denwa suru,でんわする,to call (on the phone)
15,出る,deru,でる,to leave; to exit; to appear; to go out
16,吹く,fuku,ふく,to blow (of the wind)
17,降る,furu,ふる,"to fall (rain, snow)"
18,入る,hairu,はいる,to enter; to go into
19,始まる,hajimaru,はじまる,to begin
20,履く,haku,はく,"to wear (shoes, pants)"
21,話す,hanasu,はなす,to speak; to talk; to converse
22,晴れる,hareru,はれる,to be sunny
23,貼る,haru,はる,to stick; to paste
24,走る,hashiru,はしる,to run
25,働く,hataraku,はたらく,to work
26,引く,hiku,ひく,to pull
27,弾く,hiku,ひく,to play (a string instrument)
28,行く,iku,いく,to go; to move
29,入れる,ireru,いれる,to put in; to let in; to insert
30,要る,iru,いる,to be needed; to be wanted
31,居る,iru,いる,"to be, to exist (animate objects)"
32,言う,iu,いう,to say; to call
33,授業,jugyou,じゅぎょう,lesson; class work
34,帰る,kaeru,かえる,to return; to go back
35,返す,kaesu,かえす,to return (something)
36,掛かる,kakaru,かかる,"to take (a resource, e.g. time or money)"
37,掛ける,kakeru,かける,to hang up; to make (a call)
38,書く,kaku,かく,to write; to draw
39,借りる,kariru,かりる,to borrow
40,貸す,kasu,かす,to lend; to loan
41,買う,kau,かう,to buy; to purchase
42,結婚する,kekkon suru,けっこんする,to get married
43,消す,kesu,けす,to erase; to turn off power
44,消える,kieru,きえる,to disappear
45,聞く,kiku,きく,to hear; to listen (to music); to ask
46,切る,kiru,きる,to cut
47,着る,kiru,きる,to wear (clothes)
48,困る,komaru,こまる,to be troubled; to be worried
49,コピーする,kopii suru,コピーする,to copy; to photocopy
50,答える,kotaeru,こたえる,to answer
51,曇る,kumoru,くもる,to become cloudy
52,来る,kuru,くる,to come
53,曲がる,magaru,まがる,to turn; to bend
54,待つ,matsu,まつ,to wait
55,磨く,migaku,みがく,to polish; to shine; to brush (e.g. teeth)
56,見る,miru,みる,to see; to look; to watch; to view
57,見せる,miseru,みせる,to show; to display
58,持つ,motsu,もつ,to hold; to have
59,鳴く,naku,なく,"to make an animal sound (e.g., to chirp, to bark)"
60,無くす,nakusu,なくす,to lose (something)
61,並べる,naraberu,ならべる,to line up; to set up
62,並ぶ,narabu,ならぶ,to line up; to stand in a line
63,習う,narau,ならう,to be taught; to learn (from a teacher)
64,寝る,neru,ねる,to sleep; to go to bed; to lie down
65,登る,noboru,のぼる,to climb
66,飲む,nomu,のむ,to drink
67,乗る,noru,のる,"to get on (train, plane, bus, ship, etc.)"
68,脱ぐ,nugu,ぬぐ,to take off (clothes)
69,覚える,oboeru,おぼえる,to remember; to memorize
70,起きる,okiru,おきる,to get up; to wake up
71,置く,oku,おく,to put; to place
72,降りる,oriru,おりる,to get off; to descend
73,教える,oshieru,おしえる,to teach
74,押す,osu,おす,to push; to press
75,終わる,owaru,おわる,to finish; to end
76,泳ぐ,oyogu,およぐ,to swim
77,練習する,renshuu suru,れんしゅうする,to practice
78,旅行する,ryokou suru,りょこうする,to travel
79,料理する,ryouri suru,りょうりする,to cook
80,咲く,saku,さく,to bloom
81,散歩する,sanpo suru,さんぽする,to take a walk
82,差す,sasu,さす,to stretch out hands; to raise (an umbrella)
83,洗濯する,sentaku suru,せんたくする,to do laundry
84,仕事する,shigoto suru,しごとする,to work
85,閉まる,shimaru,しまる,to close; to be closed
86,閉める,shimeru,しめる,to close; to shut
87,締める,shimeru,しめる,to tie; to fasten; to tighten
88,死ぬ,shinu,しぬ,to die
89,知る,shiru,しる,to know
90,質問する,shitsumon suru,しつもんする,to ask a question
91,掃除する,souji suru,そうじする,to clean
92,住む,sumu,すむ,to live in; to reside; to inhabit; to dwell
93,吸う,suu,すう,to smoke; to suck
94,座る,suwaru,すわる,to sit
95,食べる,taberu,たべる,to eat
96,頼む,tanomu,たのむ,to ask; to request
97,立つ,tatsu,たつ,to stand; to stand up
98,テストする,tesuto suru,テストする,to test
99,飛ぶ,tobu,とぶ,to fly; to hop
100,止まる,tomaru,とまる,to stop; to come to a halt
101,取る,toru,とる,to take; to pick up; to harvest; to earn; to win; to choose
102,撮る,toru,とる,to take a photo or record a film
103,疲れる,tsukareru,つかれる,to get tired
104,使う,tsukau,つかう,to use
105,つける,tsukeru,つける,to turn on
106,付ける,tsukeru,つける,to attach; to affix; to add; to apply
107,着く,tsuku,つく,to arrive at
108,作る,tsukuru,つくる,to make
109,勤める,tsutomeru,つとめる,to work for someone
110,生まれる,umareru,うまれる,to be born
111,売る,uru,うる,to sell
112,歌う,utau,うたう,to sing
113,分かる,wakaru,わかる,to understand; to comprehend; to grasp; to see; to get; to follow
114,忘れる,wasureru,わすれる,to forget
115,渡る,wataru,わたる,to go across
116,渡す,watasu,わたす,to hand over
117,やる,yaru,やる,to do
118,休む,yasumu,やすむ,to be absent; to take a day off; to rest
119,呼ぶ,yobu,よぶ,to call out; to invite
120,読む,yomu,よむ,to read; to guess; to predict; to read (someone's thoughts)
